loc;dir;horario;empresa;precio;fecha;link;distancia;
HUESCA;CALLE ALMUDEVAR, 16;L-D: 07:00-23:00;DIP ENERGY;1.642 €/l;9/4/2022;https://www.dieselogasolina.com/Buscador/Ficha/19981;0.5875863403769892;
HUESCA;CARRETERA ZARAGOZA KM. S/N;L-D: 24H;ALCAMPO;1.643 €/l;9/4/2022;https://www.dieselogasolina.com/Buscador/Ficha/17197;81.46769685590124;
HUESCA;CALLE BALLOBAR, 11;L-D: 24H;BONAREA;1.658 €/l;5/4/2022;https://www.dieselogasolina.com/Buscador/Ficha/16898;0.15235372421185647;
HUESCA;AUTOVIA A-23 (MRG.DCHO.) KM. 563,9;L-D: 06:00-22:00;CEPSA;1.734 €/l;10/4/2022;https://www.dieselogasolina.com/Buscador/Ficha/4039;3880.763981788816;
HUESCA;AUTOVIA A-23 (MRG.IZDO.) KM. 563,9;L-D: 06:00-22:00;CEPSA;1.734 €/l;10/4/2022;https://www.dieselogasolina.com/Buscador/Ficha/4041;3880.763981788816;
HUESCA;AVENIDA PAZ LA, 33;L-D: 24H;REPSOL;1.749 €/l;8/4/2022;https://www.dieselogasolina.com/Buscador/Ficha/4037;1.574018582746643;
HUESCA;PASEO RAMON Y CAJAL, 91;L-D: 06:00-22:00;CEPSA;1.749 €/l;10/4/2022;https://www.dieselogasolina.com/Buscador/Ficha/4040;2.2986412302329304;
HUESCA;CARRETERA A-23 KM. 573,8;L-D: 06:00-22:00;REPSOL;1.749 €/l;9/4/2022;https://www.dieselogasolina.com/Buscador/Ficha/10840;21.59643601509438;
HUESCA;CARRETERA A-131 KM. 2,7;L-D: 06:00-22:00;REPSOL;1.749 €/l;9/4/2022;https://www.dieselogasolina.com/Buscador/Ficha/10933;3880.763981788816;
HUESCA;CARRETERA CR N-330 KM. 569,7;L-D: 06:00-22:00;REPSOL;1.759 €/l;9/4/2022;https://www.dieselogasolina.com/Buscador/Ficha/4033;2.1310001248009454;
HUESCA;CALLE COSO ALTO, 65;L-V: 07:00-21:00; S: 08:00-14:00;REPSOL;1.759 €/l;8/4/2022;https://www.dieselogasolina.com/Buscador/Ficha/4034;1.4356152666994204;
HUESCA;AVENIDA MARTINEZ VELASCO, 53;L-D: 06:00-22:00;REPSOL;1.759 €/l;9/4/2022;https://www.dieselogasolina.com/Buscador/Ficha/4036;0.25144068342765474;
HUESCA;AVENIDA MARTINEZ DE VELASCO, 53;L-D: 24H;REPSOL;1.759 €/l;9/4/2022;https://www.dieselogasolina.com/Buscador/Ficha/4038;0.25144068342765474;
HUESCA;CALLE DR. ARTERO, 31;L-D: 24H;CARREFOUR;1.759 €/l;8/4/2022;https://www.dieselogasolina.com/Buscador/Ficha/16279;2.162742995804543;
HUESCA;RONDA INDUSTRIA (DE LA), 10;L-D: 07:00-23:00;EXIBOX;1.784 €/l;4/4/2022;https://www.dieselogasolina.com/Buscador/Ficha/14202;2.377780924317018;
HUESCA;POLIGONO RONDA INDUSTRIA (DE LA), 124;L-D: 24H;LABOIL;1.799 €/l;4/4/2022;https://www.dieselogasolina.com/Buscador/Ficha/15428;3880.763981788816;
